Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-07-18,358.290009,358.380005,352.790009,356.209991,324.595276,1704900,352
2019-07-19,357.640015,359.100006,355.850006,356.959991,325.278717,1463300,353
2019-07-22,357.440002,358.470001,355.559998,357.630005,325.889282,1144700,354
2019-07-23,363,363,350.809998,357.799988,326.044189,2343900,355
2019-07-24,358.200012,368.98999,358,368.899994,336.159027,1900400,356
2019-07-25,368.76001,372.709991,367.149994,370.320007,337.452972,1143300,357
2019-07-26,369.609985,370.709991,367.779999,369.459991,336.669342,791300,358
2019-07-29,369.410004,370.109985,367.950012,369.619995,336.815125,659200,359
2019-07-30,368.630005,370.670013,365.329987,365.98999,333.507263,699400,360
2019-07-31,365.910004,368.709991,359.290009,362.170013,330.026367,1037100,361
2019-08-01,361.720001,367.339996,359.190002,363.089996,330.864655,1220300,362
2019-08-02,364.130005,364.309998,359.48999,361.910004,329.789429,836300,363
2019-08-05,356.549988,361.100006,353.970001,358.429993,326.618286,1464600,364
2019-08-06,361.279999,366.890015,358.839996,366.779999,334.227234,1124900,365
2019-08-07,364.019989,370.929993,362.019989,369.299988,336.523499,1243000,366
2019-08-08,370.01001,378.399994,370.01001,377.170013,343.695129,1185800,367
2019-08-09,376.100006,379.359985,373.329987,377.01001,343.549316,872000,368
2019-08-12,375,378.049988,373.600006,377,343.540161,706100,369
2019-08-13,377.98999,381.51001,375.279999,377.220001,343.740631,1054900,370
2019-08-14,376,376,367.359985,368.940002,336.195557,1469100,371
2019-08-15,369.149994,374.570007,367.170013,373.459991,340.314362,1066900,372
